16:34:29:624:717 Monitoring new COM ports...
16:34:29:719:783 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:34:29:719:974 [/dev/ttyS14] open error: Could not configure port: (5, 'Input/output error')
16:34:29:720:473 [/dev/ttyS20] open error: Could not configure port: (5, 'Input/output error')
16:34:29:720:612 [/dev/ttyS17] open error: Could not configure port: (5, 'Input/output error')
16:34:29:721:031 [/dev/ttyS18] open error: Could not configure port: (5, 'Input/output error')
16:34:29:721:416 [/dev/ttyS10] open error: Could not configure port: (5, 'Input/output error')
16:34:29:721:441 [/dev/ttyS31] open error: Could not configure port: (5, 'Input/output error')
16:34:29:721:579 [/dev/ttyS4] open error: Could not configure port: (5, 'Input/output error')
16:34:29:721:673 [/dev/ttyS24] open error: Could not configure port: (5, 'Input/output error')
16:34:29:722:070 [/dev/ttyS8] open error: Could not configure port: (5, 'Input/output error')
16:34:29:722:519 [/dev/ttyS2] open error: Could not configure port: (5, 'Input/output error')
16:34:29:723:006 [/dev/ttyS9] open error: Could not configure port: (5, 'Input/output error')
16:34:29:723:052 [/dev/ttyS6] open error: Could not configure port: (5, 'Input/output error')
16:34:29:723:324 [/dev/ttyS5] open error: Could not configure port: (5, 'Input/output error')
16:34:29:723:862 [/dev/ttyS1] open error: Could not configure port: (5, 'Input/output error')
16:34:29:723:531 [/dev/ttyS27] open error: Could not configure port: (5, 'Input/output error')
16:34:29:723:564 [/dev/ttyS13] open error: Could not configure port: (5, 'Input/output error')
16:34:29:724:180 [/dev/ttyS26] open error: Could not configure port: (5, 'Input/output error')
16:34:29:724:465 [/dev/ttyS28] open error: Could not configure port: (5, 'Input/output error')
16:34:29:724:221 [/dev/ttyS19] open error: Could not configure port: (5, 'Input/output error')
16:34:29:725:306 [/dev/ttyS0] open error: Could not configure port: (5, 'Input/output error')
16:34:29:728:104 [/dev/ttyS7] open error: Could not configure port: (5, 'Input/output error')
16:34:29:728:370 [/dev/ttyS3] open error: Could not configure port: (5, 'Input/output error')
16:34:29:728:672 [/dev/ttyS22] open error: Could not configure port: (5, 'Input/output error')
16:34:29:728:857 [/dev/ttyS21] open error: Could not configure port: (5, 'Input/output error')
16:34:29:729:059 [/dev/ttyS12] open error: Could not configure port: (5, 'Input/output error')
16:34:29:729:192 [/dev/ttyS29] open error: Could not configure port: (5, 'Input/output error')
16:34:29:729:840 [/dev/ttyS23] open error: Could not configure port: (5, 'Input/output error')
16:34:29:729:988 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
16:34:29:730:011 [/dev/ttyS25] open error: Could not configure port: (5, 'Input/output error')
16:34:29:730:077 [/dev/ttyS15] open error: Could not configure port: (5, 'Input/output error')
16:34:29:730:061 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:34:30:035:487 [/dev/ttyS15] open error: Could not configure port: (5, 'Input/output error')
16:34:30:035:677 [/dev/ttyS23] open error: Could not configure port: (5, 'Input/output error')
16:34:30:035:756 [/dev/ttyS25] open error: Could not configure port: (5, 'Input/output error')
16:34:30:035:952 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
16:34:30:036:018 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:34:30:340:958 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
16:34:30:341:357 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:34:30:648:951 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
16:34:30:648:983 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:34:30:953:862 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
16:34:30:953:996 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:34:31:258:969 [/dev/ttyS11] open error: Could not configure port: (5, 'Input/output error')
16:34:31:259:054 [/dev/ttyS16] open error: Could not configure port: (5, 'Input/output error')
