16:31:51:040:273 Monitoring new COM ports...
16:32:02:714:042 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:019:047 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:323:843 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:628:765 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:933:931 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:03:934:349 [/dev/ttyACM0] opened.
16:32:04:239:377 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:04:544:465 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:04:849:645 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:05:154:759 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:05:459:796 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:05:765:059 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:070:323 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:375:439 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:680:660 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:985:872 [/dev/ttyACM0] disconnected. removed.
16:32:06:985:952 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:06:999:138 [/dev/ttyACM0] open error: [Errno 5] Input/output error
16:32:07:290:837 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:07:595:831 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:07:900:776 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:08:205:657 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:08:510:300 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:08:815:240 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:09:119:980 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:09:425:708 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:09:731:023 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:036:011 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:341:239 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:646:532 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:10:951:327 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:11:256:276 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:11:563:436 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:11:868:172 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:12:172:989 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:12:478:006 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:12:782:821 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:13:087:752 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:13:392:412 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:13:697:404 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:14:002:144 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:14:307:670 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:14:612:445 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:14:917:251 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:15:222:057 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:15:527:160 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:15:832:005 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:16:136:825 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:16:441:754 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:16:746:666 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:17:051:427 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:17:356:261 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:17:661:090 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:17:966:874 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:18:272:388 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:18:577:404 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:18:882:374 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:19:187:254 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:19:492:434 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:19:797:394 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:20:102:216 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:20:407:286 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:20:712:058 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:21:016:761 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:21:321:531 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:21:626:415 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:21:931:393 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:22:236:164 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:22:540:932 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:22:845:786 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:23:150:663 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:23:455:176 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:23:759:923 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:24:064:938 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:24:369:783 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:24:674:835 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:24:979:737 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:25:284:662 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:25:589:424 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:25:894:281 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:26:199:212 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:26:504:608 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:26:809:538 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:27:114:577 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:27:419:321 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:27:724:126 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:28:028:805 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:28:333:482 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:28:638:310 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:28:943:144 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:29:247:979 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:29:552:879 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:29:857:743 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
