============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
[STEP] az=8.02 prev_primary=4 action=[2, 6] reward=-0.009
[STEP] az=356.83 prev_primary=2 action=[2, 5] reward=+0.981
[STEP] az=356.83 prev_primary=2 action=[4, 3] reward=-0.004
[STEP] az=54.27 prev_primary=4 action=[3, 4] reward=-0.004
[STEP] az=358.07 prev_primary=3 action=[1, 2] reward=-0.002
[STEP] az=30.91 prev_primary=1 action=[6, 4] reward=-0.052
[STEP] az=37.32 prev_primary=6 action=[2, 1] reward=+1.015
[STEP] az=12.41 prev_primary=2 action=[2, 4] reward=+0.152
[STEP] az=8.09 prev_primary=2 action=[1, 5] reward=+0.156
[STEP] az=8.09 prev_primary=1 action=[3, 4] reward=-0.004
[STEP] az=1.57 prev_primary=3 action=[5, 3] reward=-0.943
[STEP] az=323.17 prev_primary=5 action=[3, 5] reward=+0.996
[STEP] az=323.17 prev_primary=3 action=[1, 4] reward=-0.002
[STEP] az=18.35 prev_primary=1 action=[5, 1] reward=-0.943
[S1] Ep    2/500 | reward=  +7.58 | success=39/50
  cases : leaf_fail=11  success=39
  avg   : Rprimary=+0.909(all)  Rangle=-0.914  Rbest=-0.036  R_geom(ref)=+0.039
  total : Rprimary=+45.5  Rangle=-35.6  Rbest=-1.4  R_geom=+1.9
[STEP] az=354.49 prev_primary=3 action=[3, 4] reward=+0.000
[STEP] az=332.12 prev_primary=3 action=[1, 2] reward=-0.003
[STEP] az=11.45 prev_primary=1 action=[1, 6] reward=+0.401
[STEP] az=11.45 prev_primary=1 action=[1, 5] reward=-0.296
[STEP] az=15.62 prev_primary=1 action=[4, 1] reward=+1.050
[STEP] az=355.25 prev_primary=4 action=[6, 3] reward=-1.000
[STEP] az=355.25 prev_primary=6 action=[3, 2] reward=+0.000
[STEP] az=18.41 prev_primary=3 action=[4, 2] reward=+0.887
[STEP] az=5.56 prev_primary=4 action=[4, 3] reward=+0.000
[STEP] az=19.06 prev_primary=4 action=[2, 1] reward=+1.475
[STEP] az=357.44 prev_primary=2 action=[1, 6] reward=+0.014
[STEP] az=357.44 prev_primary=1 action=[5, 1] reward=-0.173
[STEP] az=349.88 prev_primary=5 action=[3, 2] reward=+0.000
[STEP] az=19.94 prev_primary=3 action=[1, 5] reward=+0.997
[STEP] az=19.94 prev_primary=1 action=[1, 2] reward=-0.833
[STEP] az=11.14 prev_primary=1 action=[6, 5] reward=-1.000
[STEP] az=11.14 prev_primary=6 action=[6, 3] reward=-1.000
[STEP] az=11.14 prev_primary=6 action=[6, 3] reward=-1.000
[STEP] az=11.14 prev_primary=6 action=[1, 4] reward=-0.003
