============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=0.00 prev_primary=3 action=[4, 6] reward=+0.006
[STEP] az=118.62 prev_primary=4 action=[5, 6] reward=+0.795
[STEP] az=93.25 prev_primary=5 action=[5, 4] reward=+0.795
[STEP] az=79.14 prev_primary=5 action=[1, 2] reward=+0.988
[STEP] az=65.77 prev_primary=1 action=[5, 2] reward=+0.795
[STEP] az=65.77 prev_primary=5 action=[1, 3] reward=+0.044
[STEP] az=65.77 prev_primary=1 action=[5, 1] reward=+0.795
[STEP] az=347.90 prev_primary=5 action=[5, 6] reward=+0.795
[STEP] az=93.25 prev_primary=5 action=[2, 5] reward=+0.522
[STEP] az=93.25 prev_primary=2 action=[3, 1] reward=-1.000
[STEP] az=93.25 prev_primary=3 action=[3, 1] reward=-1.000
[STEP] az=93.25 prev_primary=3 action=[5, 3] reward=+0.795
[STEP] az=93.25 prev_primary=5 action=[3, 2] reward=-1.000
[STEP] az=93.25 prev_primary=3 action=[1, 2] reward=+0.988
[STEP] az=65.59 prev_primary=1 action=[1, 6] reward=-0.546
[STEP] az=60.67 prev_primary=1 action=[3, 6] reward=-1.000
[STEP] az=60.67 prev_primary=3 action=[5, 1] reward=+0.795
[STEP] az=347.89 prev_primary=5 action=[6, 1] reward=+0.592
[STEP] az=12.42 prev_primary=6 action=[3, 1] reward=-1.000
[STEP] az=12.42 prev_primary=3 action=[1, 4] reward=+0.238
[STEP] az=51.42 prev_primary=1 action=[1, 5] reward=-0.376
[STEP] az=51.48 prev_primary=1 action=[4, 5] reward=-1.000
[STEP] az=79.16 prev_primary=4 action=[1, 6] reward=+0.192
[STEP] az=57.79 prev_primary=1 action=[5, 2] reward=+0.795
[STEP] az=57.79 prev_primary=5 action=[4, 6] reward=-0.060
[STEP] az=115.42 prev_primary=4 action=[2, 5] reward=-0.163
[STEP] az=115.42 prev_primary=2 action=[2, 1] reward=-1.291
[STEP] az=90.13 prev_primary=2 action=[4, 3] reward=+1.000
[STEP] az=90.13 prev_primary=4 action=[3, 5] reward=-1.000
[STEP] az=90.13 prev_primary=3 action=[3, 1] reward=-1.000
[STEP] az=90.13 prev_primary=3 action=[3, 6] reward=-1.000
[STEP] az=90.13 prev_primary=3 action=[5, 6] reward=+0.795
[STEP] az=93.34 prev_primary=5 action=[1, 6] reward=-0.258
[STEP] az=60.41 prev_primary=1 action=[5, 1] reward=+0.795
[STEP] az=347.94 prev_primary=5 action=[3, 4] reward=-1.000
[STEP] az=347.94 prev_primary=3 action=[2, 6] reward=+0.186
[STEP] az=329.07 prev_primary=2 action=[6, 3] reward=-0.009
[STEP] az=12.01 prev_primary=6 action=[6, 1] reward=+0.548
[STEP] az=15.19 prev_primary=6 action=[3, 2] reward=-1.000
[STEP] az=15.19 prev_primary=3 action=[6, 4] reward=+0.989
[STEP] az=39.69 prev_primary=6 action=[2, 4] reward=-0.689
[STEP] az=42.29 prev_primary=2 action=[1, 2] reward=+0.988
[STEP] az=65.32 prev_primary=1 action=[1, 4] reward=+0.210
[STEP] az=49.93 prev_primary=1 action=[4, 5] reward=-1.000
[STEP] az=79.16 prev_primary=4 action=[2, 3] reward=+0.669
[STEP] az=79.16 prev_primary=2 action=[1, 3] reward=+0.988
[STEP] az=79.16 prev_primary=1 action=[2, 3] reward=+0.039
[STEP] az=79.16 prev_primary=2 action=[4, 5] reward=-1.000
[STEP] az=79.17 prev_primary=4 action=[1, 5] reward=-0.408
[STEP] az=49.47 prev_primary=1 action=[5, 1] reward=+0.795
[S1] Ep    1/500 | reward=  +1.13 | success=30/50
  cases : leaf_fail=10  primary_fail=10  success=30
  avg   : Rprimary=+0.727(all)  Rangle=-0.947  Rbest=-0.065  R_geom=+0.278
  total : Rprimary=+36.4  Rangle=-28.4  Rbest=-2.0  R_geom=+8.3
[STEP] az=0.00 prev_primary=3 action=[1, 5] reward=+0.998
[STEP] az=0.00 prev_primary=1 action=[2, 6] reward=-1.692
[STEP] az=30.27 prev_primary=2 action=[4, 2] reward=+0.996
[STEP] az=30.27 prev_primary=4 action=[1, 4] reward=-0.404
[STEP] az=18.00 prev_primary=1 action=[3, 2] reward=+0.996
[STEP] az=18.00 prev_primary=3 action=[2, 4] reward=-1.474
[STEP] az=8.11 prev_primary=2 action=[6, 4] reward=+0.948
[STEP] az=37.28 prev_primary=6 action=[3, 6] reward=-0.298
[STEP] az=354.64 prev_primary=3 action=[4, 1] reward=+1.392
[STEP] az=11.65 prev_primary=4 action=[1, 3] reward=-0.982
[STEP] az=2.55 prev_primary=1 action=[5, 2] reward=-1.000
[STEP] az=2.55 prev_primary=5 action=[5, 4] reward=+0.157
[STEP] az=78.81 prev_primary=5 action=[5, 4] reward=-1.000
[STEP] az=78.81 prev_primary=5 action=[6, 3] reward=+0.246
[STEP] az=354.39 prev_primary=6 action=[6, 3] reward=+0.269
[STEP] az=352.95 prev_primary=6 action=[1, 2] reward=+0.998
[STEP] az=352.95 prev_primary=1 action=[3, 5] reward=+0.996
[STEP] az=352.95 prev_primary=3 action=[5, 6] reward=+0.157
[STEP] az=352.95 prev_primary=5 action=[4, 1] reward=+1.403
[STEP] az=11.72 prev_primary=4 action=[2, 1] reward=-0.527
[STEP] az=10.61 prev_primary=2 action=[1, 6] reward=-0.468
[STEP] az=21.76 prev_primary=1 action=[3, 1] reward=+0.996
[STEP] az=352.87 prev_primary=3 action=[2, 3] reward=-0.889
[STEP] az=13.99 prev_primary=2 action=[1, 3] reward=-1.002
[STEP] az=352.83 prev_primary=1 action=[5, 3] reward=+0.157
[STEP] az=323.17 prev_primary=5 action=[2, 5] reward=+0.982
[STEP] az=323.17 prev_primary=2 action=[5, 4] reward=+0.157
[STEP] az=78.81 prev_primary=5 action=[5, 2] reward=+0.157
[STEP] az=78.81 prev_primary=5 action=[6, 2] reward=+1.950
[STEP] az=12.25 prev_primary=6 action=[6, 2] reward=+1.951
[STEP] az=12.26 prev_primary=6 action=[1, 6] reward=-0.466
[STEP] az=21.89 prev_primary=1 action=[2, 4] reward=-0.851
[STEP] az=8.08 prev_primary=2 action=[1, 3] reward=-1.001
[STEP] az=355.09 prev_primary=1 action=[6, 5] reward=-0.106
[STEP] az=3.23 prev_primary=6 action=[6, 3] reward=+0.330
[STEP] az=349.13 prev_primary=6 action=[5, 6] reward=-0.416
[STEP] az=26.56 prev_primary=5 action=[6, 2] reward=+0.948
[STEP] az=26.56 prev_primary=6 action=[2, 4] reward=-1.118
[STEP] az=8.07 prev_primary=2 action=[2, 4] reward=-0.859
[STEP] az=8.04 prev_primary=2 action=[2, 1] reward=-0.266
[STEP] az=9.46 prev_primary=2 action=[4, 3] reward=-0.766
[STEP] az=49.82 prev_primary=4 action=[5, 2] reward=+0.157
[STEP] az=49.82 prev_primary=5 action=[5, 6] reward=-1.000
[STEP] az=49.82 prev_primary=5 action=[3, 5] reward=+0.996
[STEP] az=49.82 prev_primary=3 action=[6, 2] reward=+1.924
[STEP] az=12.13 prev_primary=6 action=[4, 2] reward=+1.149
[STEP] az=8.01 prev_primary=4 action=[2, 4] reward=-0.868
[STEP] az=8.00 prev_primary=2 action=[3, 4] reward=-0.002
[STEP] az=0.14 prev_primary=3 action=[1, 4] reward=-0.415
[STEP] az=17.41 prev_primary=1 action=[6, 2] reward=+1.944
[S1] Ep    2/500 | reward=  +5.49 | success=36/50
  cases : leaf_fail=11  primary_fail=3  success=36
  avg   : Rprimary=+0.807(all)  Rangle=-0.782  Rbest=-0.084  R_geom=-0.018
  total : Rprimary=+40.3  Rangle=-28.2  Rbest=-3.0  R_geom=-0.6
[STEP] az=78.36 prev_primary=5 action=[1, 2] reward=+0.259
[STEP] az=12.27 prev_primary=1 action=[3, 1] reward=+1.899
[STEP] az=354.50 prev_primary=3 action=[4, 1] reward=+1.451
[STEP] az=353.31 prev_primary=4 action=[2, 5] reward=+0.919
[STEP] az=353.31 prev_primary=2 action=[2, 1] reward=+1.074
[STEP] az=354.88 prev_primary=2 action=[3, 4] reward=-0.527
[STEP] az=328.12 prev_primary=3 action=[3, 2] reward=+0.910
[STEP] az=18.69 prev_primary=3 action=[2, 3] reward=-0.775
[STEP] az=352.02 prev_primary=2 action=[6, 2] reward=-1.000
[STEP] az=352.02 prev_primary=6 action=[6, 2] reward=-1.000
[STEP] az=352.02 prev_primary=6 action=[3, 5] reward=+1.000
[STEP] az=352.02 prev_primary=3 action=[2, 5] reward=-1.034
[STEP] az=23.00 prev_primary=2 action=[3, 2] reward=+0.917
[STEP] az=19.61 prev_primary=3 action=[6, 5] reward=-1.000
[STEP] az=19.61 prev_primary=6 action=[4, 5] reward=-0.473
