============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=93.22 prev_primary=5 action=[3, 5] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[3, 2] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[1, 5] reward=-0.012
[STEP] az=287.97 prev_primary=1 action=[5, 2] reward=-1.000
[STEP] az=0.00 prev_primary=5 action=[5, 1] reward=-2.205
[STEP] az=347.87 prev_primary=5 action=[6, 4] reward=-2.011
[STEP] az=39.61 prev_primary=6 action=[3, 5] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[2, 4] reward=-0.169
[STEP] az=344.13 prev_primary=2 action=[4, 3] reward=-0.364
[STEP] az=0.00 prev_primary=4 action=[2, 3] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[4, 6] reward=-0.828
[STEP] az=309.78 prev_primary=4 action=[2, 1] reward=+0.831
[STEP] az=47.05 prev_primary=2 action=[5, 6] reward=-2.205
[STEP] az=93.25 prev_primary=5 action=[1, 5] reward=+0.988
[STEP] az=52.47 prev_primary=1 action=[4, 1] reward=+0.015
[STEP] az=43.72 prev_primary=4 action=[5, 3] reward=-1.000
[STEP] az=0.00 prev_primary=5 action=[5, 1] reward=-2.205
[STEP] az=347.78 prev_primary=5 action=[6, 2] reward=-2.011
[STEP] az=14.62 prev_primary=6 action=[2, 3] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[2, 5] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[3, 2] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[6, 5] reward=-2.011
[STEP] az=93.24 prev_primary=6 action=[5, 3] reward=-1.000
[STEP] az=0.00 prev_primary=5 action=[1, 2] reward=-1.012
[STEP] az=65.58 prev_primary=1 action=[1, 4] reward=+0.988
[STEP] az=49.00 prev_primary=1 action=[2, 5] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[3, 1] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[6, 1] reward=-0.714
[STEP] az=278.78 prev_primary=6 action=[6, 5] reward=-1.421
[STEP] az=78.65 prev_primary=6 action=[1, 6] reward=+0.076
[STEP] az=60.74 prev_primary=1 action=[4, 5] reward=-1.624
[STEP] az=79.15 prev_primary=4 action=[3, 2] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[5, 4] reward=-2.205
[STEP] az=79.14 prev_primary=5 action=[1, 3] reward=-0.000
[STEP] az=0.00 prev_primary=1 action=[2, 6] reward=+0.149
[STEP] az=57.89 prev_primary=2 action=[6, 5] reward=-1.524
[STEP] az=81.83 prev_primary=6 action=[1, 3] reward=-0.000
[STEP] az=0.00 prev_primary=1 action=[5, 2] reward=-2.205
[STEP] az=32.67 prev_primary=5 action=[5, 3] reward=-1.000
[STEP] az=0.00 prev_primary=5 action=[4, 6] reward=-0.655
[STEP] az=301.66 prev_primary=4 action=[6, 3] reward=-1.000
[STEP] az=0.00 prev_primary=6 action=[4, 1] reward=+0.249
[STEP] az=44.31 prev_primary=4 action=[3, 6] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[6, 4] reward=-2.011
[STEP] az=39.68 prev_primary=6 action=[1, 5] reward=-0.000
[STEP] az=0.00 prev_primary=1 action=[4, 5] reward=-1.650
[STEP] az=79.16 prev_primary=4 action=[4, 1] reward=-0.163
[STEP] az=43.28 prev_primary=4 action=[5, 1] reward=-2.205
[STEP] az=347.77 prev_primary=5 action=[3, 1] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[5, 6] reward=-2.205
[S1] Ep    1/500 | reward= -43.32 | success=29/50
  cases : leaf_fail=13  primary_fail=8  success=29
  avg   : Rprimary=+0.768(all)  Rangle=-0.817  Rbest=-0.615  rdop=-0.529
  total : Rprimary=+38.4  Rangle=-23.7  Rbest=-17.8  rdop=-15.3
[STEP] az=348.29 prev_primary=5 action=[4, 1] reward=+0.546
[STEP] az=11.12 prev_primary=4 action=[1, 5] reward=-0.000
[STEP] az=0.00 prev_primary=1 action=[2, 3] reward=-0.309
[STEP] az=67.11 prev_primary=2 action=[3, 1] reward=-2.004
[STEP] az=352.82 prev_primary=3 action=[1, 2] reward=-0.002
[STEP] az=31.73 prev_primary=1 action=[3, 2] reward=-2.004
[STEP] az=39.20 prev_primary=3 action=[3, 4] reward=-1.004
[STEP] az=357.14 prev_primary=3 action=[2, 3] reward=-0.267
[STEP] az=67.04 prev_primary=2 action=[4, 1] reward=+0.366
[STEP] az=9.10 prev_primary=4 action=[5, 2] reward=-0.523
[STEP] az=0.00 prev_primary=5 action=[4, 1] reward=+0.540
[STEP] az=11.11 prev_primary=4 action=[2, 6] reward=-0.018
[STEP] az=351.53 prev_primary=2 action=[5, 2] reward=-0.863
[STEP] az=0.00 prev_primary=5 action=[3, 5] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[6, 3] reward=-1.052
[STEP] az=349.00 prev_primary=6 action=[1, 4] reward=+0.998
[STEP] az=16.47 prev_primary=1 action=[1, 6] reward=-0.002
[STEP] az=270.39 prev_primary=1 action=[4, 2] reward=-1.314
[STEP] az=8.03 prev_primary=4 action=[6, 5] reward=-0.000
[STEP] az=0.00 prev_primary=6 action=[2, 3] reward=-0.267
[STEP] az=67.04 prev_primary=2 action=[1, 6] reward=-0.002
[STEP] az=270.79 prev_primary=1 action=[4, 5] reward=-0.323
[STEP] az=30.07 prev_primary=4 action=[3, 2] reward=-2.004
[STEP] az=39.19 prev_primary=3 action=[4, 2] reward=-1.143
[STEP] az=8.06 prev_primary=4 action=[3, 4] reward=-1.004
[STEP] az=358.25 prev_primary=3 action=[6, 4] reward=-1.052
[STEP] az=37.28 prev_primary=6 action=[2, 3] reward=+0.982
[STEP] az=16.87 prev_primary=2 action=[4, 3] reward=-0.572
[STEP] az=48.05 prev_primary=4 action=[6, 1] reward=-1.058
[STEP] az=326.67 prev_primary=6 action=[3, 4] reward=-1.004
[STEP] az=0.51 prev_primary=3 action=[6, 4] reward=-2.052
[STEP] az=37.28 prev_primary=6 action=[4, 1] reward=+0.150
[STEP] az=10.13 prev_primary=4 action=[6, 1] reward=-1.057
[STEP] az=326.66 prev_primary=6 action=[2, 5] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[3, 5] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[2, 5] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[3, 1] reward=-2.004
[STEP] az=352.82 prev_primary=3 action=[2, 5] reward=-0.260
[STEP] az=0.00 prev_primary=2 action=[5, 2] reward=-0.863
[STEP] az=0.00 prev_primary=5 action=[6, 4] reward=-2.052
[STEP] az=37.29 prev_primary=6 action=[1, 4] reward=+0.998
[STEP] az=16.38 prev_primary=1 action=[2, 6] reward=-0.018
[STEP] az=352.44 prev_primary=2 action=[3, 5] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[3, 4] reward=-1.004
[STEP] az=356.28 prev_primary=3 action=[4, 3] reward=-0.006
[STEP] az=55.47 prev_primary=4 action=[6, 5] reward=-0.000
[STEP] az=0.00 prev_primary=6 action=[4, 5] reward=-0.129
[STEP] az=0.00 prev_primary=4 action=[5, 1] reward=-2.706
[STEP] az=348.31 prev_primary=5 action=[3, 2] reward=-2.004
[STEP] az=39.21 prev_primary=3 action=[4, 5] reward=-0.490
[S1] Ep    2/500 | reward= -30.86 | success=36/50
  cases : leaf_fail=14  success=36
  avg   : Rprimary=+0.919(all)  Rangle=-0.839  Rbest=-0.450  rdop=-0.361
  total : Rprimary=+45.9  Rangle=-30.2  Rbest=-16.2  rdop=-13.0
[STEP] az=0.00 prev_primary=2 action=[2, 4] reward=-0.241
[STEP] az=25.30 prev_primary=2 action=[6, 4] reward=-1.000
[STEP] az=0.00 prev_primary=6 action=[2, 6] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[3, 5] reward=-1.000
[STEP] az=0.00 prev_primary=3 action=[5, 4] reward=-2.173
[STEP] az=78.35 prev_primary=5 action=[2, 6] reward=-0.000
[STEP] az=0.00 prev_primary=2 action=[1, 4] reward=-1.003
[STEP] az=275.96 prev_primary=1 action=[6, 1] reward=-1.000
[STEP] az=0.00 prev_primary=6 action=[3, 2] reward=-0.204
[STEP] az=22.01 prev_primary=3 action=[2, 5] reward=-0.032
[STEP] az=57.93 prev_primary=2 action=[5, 4] reward=-2.173
[STEP] az=78.35 prev_primary=5 action=[4, 3] reward=-0.121
[STEP] az=21.44 prev_primary=4 action=[5, 2] reward=-2.173
[STEP] az=34.17 prev_primary=5 action=[4, 3] reward=-0.113
