============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=287.49 prev_primary=1 action=[6, 3] reward=+1.984
[STEP] az=287.49 prev_primary=6 action=[4, 1] reward=+1.869
[STEP] az=225.91 prev_primary=4 action=[5, 6] reward=+0.124
[STEP] az=126.46 prev_primary=5 action=[1, 5] reward=+1.735
[STEP] az=46.60 prev_primary=1 action=[2, 1] reward=-0.016
[STEP] az=48.11 prev_primary=2 action=[6, 5] reward=+0.358
[STEP] az=93.25 prev_primary=6 action=[6, 3] reward=+0.014
[STEP] az=93.25 prev_primary=6 action=[3, 5] reward=-1.000
[STEP] az=93.25 prev_primary=3 action=[1, 3] reward=+1.274
[STEP] az=93.25 prev_primary=1 action=[2, 4] reward=+1.200
[STEP] az=34.39 prev_primary=2 action=[6, 5] reward=+0.556
[STEP] az=93.24 prev_primary=6 action=[2, 1] reward=-0.099
[STEP] az=85.90 prev_primary=2 action=[1, 4] reward=+1.886
[STEP] az=50.63 prev_primary=1 action=[2, 4] reward=+0.397
[STEP] az=32.89 prev_primary=2 action=[6, 3] reward=+0.772
[STEP] az=32.89 prev_primary=6 action=[2, 1] reward=+0.229
[STEP] az=53.03 prev_primary=2 action=[3, 6] reward=-1.000
[STEP] az=53.03 prev_primary=3 action=[5, 2] reward=+1.385
[STEP] az=32.65 prev_primary=5 action=[5, 4] reward=+0.452
[STEP] az=79.24 prev_primary=5 action=[2, 4] reward=+0.426
[STEP] az=35.06 prev_primary=2 action=[3, 5] reward=-1.000
[STEP] az=35.06 prev_primary=3 action=[2, 1] reward=+0.181
[STEP] az=52.80 prev_primary=2 action=[4, 5] reward=-0.666
[STEP] az=79.15 prev_primary=4 action=[4, 5] reward=-0.541
[STEP] az=79.17 prev_primary=4 action=[6, 3] reward=-0.378
[STEP] az=79.17 prev_primary=6 action=[6, 4] reward=+0.738
[STEP] az=39.60 prev_primary=6 action=[5, 3] reward=+0.638
[STEP] az=39.60 prev_primary=5 action=[1, 5] reward=-0.264
[STEP] az=57.45 prev_primary=1 action=[2, 3] reward=-0.037
[STEP] az=57.45 prev_primary=2 action=[5, 6] reward=+0.417
[STEP] az=93.22 prev_primary=5 action=[6, 5] reward=-0.788
[STEP] az=81.00 prev_primary=6 action=[2, 5] reward=+0.371
[STEP] az=81.00 prev_primary=2 action=[6, 2] reward=+0.606
[STEP] az=14.71 prev_primary=6 action=[3, 4] reward=-1.000
[STEP] az=14.71 prev_primary=3 action=[1, 6] reward=+0.718
[STEP] az=59.06 prev_primary=1 action=[5, 3] reward=+0.787
[STEP] az=59.06 prev_primary=5 action=[6, 2] reward=+1.696
[STEP] az=14.71 prev_primary=6 action=[2, 3] reward=+0.057
[STEP] az=14.71 prev_primary=2 action=[6, 5] reward=+0.889
[STEP] az=82.13 prev_primary=6 action=[5, 1] reward=+0.870
