============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=42.68 prev_primary=4 action=[4, 1] reward=+1.178
[STEP] az=43.38 prev_primary=4 action=[6, 1] reward=+1.310
[STEP] az=13.25 prev_primary=6 action=[6, 2] reward=+0.660
[STEP] az=14.62 prev_primary=6 action=[4, 6] reward=-1.017
[STEP] az=309.85 prev_primary=4 action=[5, 6] reward=+0.162
[STEP] az=93.19 prev_primary=5 action=[3, 2] reward=-1.000
[STEP] az=93.19 prev_primary=3 action=[2, 3] reward=+0.428
[STEP] az=93.19 prev_primary=2 action=[2, 5] reward=+0.572
[STEP] az=93.19 prev_primary=2 action=[3, 6] reward=-1.000
[STEP] az=93.19 prev_primary=3 action=[1, 4] reward=+1.866
[STEP] az=50.31 prev_primary=1 action=[1, 2] reward=+1.943
[STEP] az=65.32 prev_primary=1 action=[5, 3] reward=+0.694
[STEP] az=322.05 prev_primary=5 action=[6, 5] reward=+1.639
[STEP] az=79.45 prev_primary=6 action=[3, 6] reward=-1.000
[STEP] az=79.45 prev_primary=3 action=[6, 2] reward=+1.349
[STEP] az=14.70 prev_primary=6 action=[5, 6] reward=+1.155
[STEP] az=93.21 prev_primary=5 action=[1, 4] reward=+1.866
[STEP] az=49.36 prev_primary=1 action=[2, 6] reward=+0.281
[STEP] az=55.71 prev_primary=2 action=[2, 1] reward=-0.133
[STEP] az=56.43 prev_primary=2 action=[2, 6] reward=+0.484
[STEP] az=54.69 prev_primary=2 action=[6, 5] reward=-0.770
[STEP] az=93.22 prev_primary=6 action=[6, 4] reward=+0.453
[STEP] az=39.76 prev_primary=6 action=[4, 6] reward=-0.549
[STEP] az=118.34 prev_primary=4 action=[5, 3] reward=-0.006
[STEP] az=118.34 prev_primary=5 action=[2, 4] reward=+1.575
[STEP] az=30.24 prev_primary=2 action=[1, 3] reward=+0.390
[STEP] az=30.24 prev_primary=1 action=[4, 3] reward=+0.647
[STEP] az=30.24 prev_primary=4 action=[6, 2] reward=+1.951
