============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=13.88 prev_primary=6 action=[3, 1] reward=-1.000
[STEP] az=13.88 prev_primary=3 action=[4, 1] reward=+0.677
[STEP] az=45.24 prev_primary=4 action=[1, 3] reward=+0.988
[STEP] az=45.24 prev_primary=1 action=[2, 3] reward=+0.514
[STEP] az=45.24 prev_primary=2 action=[5, 3] reward=+0.795
[STEP] az=45.24 prev_primary=5 action=[3, 2] reward=-1.000
[STEP] az=45.24 prev_primary=3 action=[3, 1] reward=-1.000
[STEP] az=45.24 prev_primary=3 action=[5, 2] reward=+0.795
[STEP] az=45.24 prev_primary=5 action=[4, 2] reward=+0.973
[STEP] az=20.79 prev_primary=4 action=[6, 1] reward=+0.572
[STEP] az=13.67 prev_primary=6 action=[6, 4] reward=+0.989
[STEP] az=39.61 prev_primary=6 action=[2, 1] reward=+0.811
[STEP] az=50.82 prev_primary=2 action=[5, 2] reward=+0.795
[STEP] az=50.82 prev_primary=5 action=[4, 2] reward=+0.922
[STEP] az=27.77 prev_primary=4 action=[5, 2] reward=+0.795
[STEP] az=27.77 prev_primary=5 action=[5, 2] reward=+0.795
[STEP] az=32.67 prev_primary=5 action=[6, 5] reward=-1.011
[STEP] az=93.23 prev_primary=6 action=[2, 1] reward=+0.736
[STEP] az=81.43 prev_primary=2 action=[4, 5] reward=-1.000
[STEP] az=79.15 prev_primary=4 action=[4, 5] reward=-1.000
[STEP] az=79.13 prev_primary=4 action=[3, 5] reward=-1.000
[STEP] az=79.13 prev_primary=3 action=[2, 5] reward=+0.548
[STEP] az=79.13 prev_primary=2 action=[6, 3] reward=+0.989
[STEP] az=79.13 prev_primary=6 action=[4, 1] reward=+0.185
[STEP] az=42.53 prev_primary=4 action=[3, 1] reward=-1.000
[STEP] az=42.53 prev_primary=3 action=[1, 5] reward=-0.364
[STEP] az=52.11 prev_primary=1 action=[6, 5] reward=-1.011
[STEP] az=93.23 prev_primary=6 action=[4, 5] reward=-1.000
[STEP] az=79.14 prev_primary=4 action=[3, 6] reward=-1.000
[STEP] az=79.14 prev_primary=3 action=[4, 6] reward=+0.199
[STEP] az=128.19 prev_primary=4 action=[4, 1] reward=+0.320
[STEP] az=43.28 prev_primary=4 action=[5, 2] reward=+0.795
[STEP] az=43.28 prev_primary=5 action=[3, 4] reward=-1.000
[STEP] az=43.28 prev_primary=3 action=[3, 6] reward=-1.000
[STEP] az=43.28 prev_primary=3 action=[5, 6] reward=+0.795
[STEP] az=93.22 prev_primary=5 action=[4, 6] reward=-0.274
[STEP] az=104.74 prev_primary=4 action=[5, 6] reward=+0.795
[STEP] az=93.21 prev_primary=5 action=[2, 5] reward=+0.154
[STEP] az=93.21 prev_primary=2 action=[1, 2] reward=+0.988
[STEP] az=65.73 prev_primary=1 action=[3, 5] reward=-1.000
[STEP] az=65.73 prev_primary=3 action=[5, 3] reward=+0.795
[STEP] az=322.56 prev_primary=5 action=[3, 4] reward=-1.000
[STEP] az=322.56 prev_primary=3 action=[4, 2] reward=+0.964
[STEP] az=358.77 prev_primary=4 action=[5, 3] reward=+0.795
[STEP] az=358.77 prev_primary=5 action=[6, 2] reward=+0.989
[STEP] az=14.70 prev_primary=6 action=[4, 1] reward=+0.299
[STEP] az=43.16 prev_primary=4 action=[5, 4] reward=+0.795
[STEP] az=79.14 prev_primary=5 action=[4, 6] reward=+0.122
[STEP] az=124.34 prev_primary=4 action=[2, 1] reward=+0.127
[STEP] az=85.50 prev_primary=2 action=[1, 4] reward=+0.226
[S1] Ep    1/500 | reward=  +6.38 | success=29/50
  cases : leaf_fail=11  primary_fail=10  success=29
  avg   : Rprimary=+0.732(all)  Rangle=-0.763  Rbest=+0.000  R_geom=+0.109
  total : Rprimary=+36.6  Rangle=-22.1  Rbest=+0.0  R_geom=+3.2
[STEP] az=12.20 prev_primary=6 action=[4, 1] reward=+0.932
[STEP] az=9.14 prev_primary=4 action=[5, 4] reward=+0.057
[STEP] az=78.81 prev_primary=5 action=[2, 4] reward=-0.861
[STEP] az=8.14 prev_primary=2 action=[3, 4] reward=+0.005
[STEP] az=0.53 prev_primary=3 action=[1, 5] reward=+0.998
[STEP] az=0.53 prev_primary=1 action=[5, 1] reward=+0.057
[STEP] az=348.26 prev_primary=5 action=[5, 1] reward=+0.057
[STEP] az=348.31 prev_primary=5 action=[2, 5] reward=+0.024
[STEP] az=348.31 prev_primary=2 action=[1, 4] reward=-0.409
[STEP] az=17.75 prev_primary=1 action=[1, 2] reward=+0.657
[STEP] az=30.54 prev_primary=1 action=[6, 5] reward=+0.945
[STEP] az=30.54 prev_primary=6 action=[6, 5] reward=+0.948
[STEP] az=30.54 prev_primary=6 action=[3, 1] reward=+0.996
[STEP] az=352.85 prev_primary=3 action=[6, 4] reward=+0.948
[STEP] az=37.33 prev_primary=6 action=[6, 1] reward=+0.948
[STEP] az=326.66 prev_primary=6 action=[6, 5] reward=+0.948
[STEP] az=326.66 prev_primary=6 action=[5, 4] reward=+0.057
[STEP] az=78.81 prev_primary=5 action=[2, 5] reward=+0.982
[STEP] az=78.81 prev_primary=2 action=[2, 6] reward=-0.962
[STEP] az=28.29 prev_primary=2 action=[3, 5] reward=+0.996
[STEP] az=28.29 prev_primary=3 action=[3, 6] reward=-0.326
[STEP] az=352.90 prev_primary=3 action=[3, 6] reward=-0.278
[STEP] az=355.86 prev_primary=3 action=[4, 5] reward=+0.996
[STEP] az=355.86 prev_primary=4 action=[5, 4] reward=+0.057
[STEP] az=78.81 prev_primary=5 action=[1, 5] reward=+0.998
[STEP] az=78.81 prev_primary=1 action=[1, 4] reward=+1.395
[STEP] az=16.38 prev_primary=1 action=[5, 6] reward=+0.057
[STEP] az=16.38 prev_primary=5 action=[4, 2] reward=-1.000
[STEP] az=16.38 prev_primary=4 action=[2, 3] reward=+0.894
[STEP] az=16.27 prev_primary=2 action=[1, 4] reward=+1.388
[STEP] az=18.31 prev_primary=1 action=[6, 5] reward=+0.945
[STEP] az=18.31 prev_primary=6 action=[6, 4] reward=+0.948
[STEP] az=37.33 prev_primary=6 action=[4, 6] reward=-0.886
[STEP] az=68.16 prev_primary=4 action=[1, 5] reward=+0.998
[STEP] az=68.16 prev_primary=1 action=[3, 6] reward=-0.319
[STEP] az=353.37 prev_primary=3 action=[5, 4] reward=+0.057
[STEP] az=78.81 prev_primary=5 action=[3, 4] reward=-0.057
[STEP] az=356.94 prev_primary=3 action=[1, 5] reward=+0.998
[STEP] az=356.94 prev_primary=1 action=[1, 6] reward=-0.456
[STEP] az=22.46 prev_primary=1 action=[2, 1] reward=+0.285
[STEP] az=9.93 prev_primary=2 action=[3, 2] reward=+0.996
[STEP] az=39.20 prev_primary=3 action=[2, 4] reward=-0.870
[STEP] az=7.99 prev_primary=2 action=[2, 5] reward=+0.982
[STEP] az=7.99 prev_primary=2 action=[6, 4] reward=+0.948
[STEP] az=37.26 prev_primary=6 action=[5, 6] reward=-0.542
[STEP] az=24.86 prev_primary=5 action=[1, 3] reward=-1.002
[STEP] az=352.84 prev_primary=1 action=[5, 4] reward=+0.057
[STEP] az=78.81 prev_primary=5 action=[5, 1] reward=-1.000
[STEP] az=78.81 prev_primary=5 action=[4, 5] reward=+0.996
[STEP] az=78.81 prev_primary=4 action=[2, 3] reward=-0.925
[S1] Ep    2/500 | reward= +14.66 | success=33/50
  cases : leaf_fail=15  primary_fail=2  success=33
  avg   : Rprimary=+0.777(all)  Rangle=-0.798  Rbest=-0.002  R_geom=+0.156
  total : Rprimary=+38.9  Rangle=-26.3  Rbest=-0.1  R_geom=+5.2
[STEP] az=0.00 prev_primary=6 action=[5, 6] reward=+0.827
[STEP] az=0.00 prev_primary=5 action=[6, 4] reward=-1.000
[STEP] az=0.00 prev_primary=6 action=[5, 2] reward=+0.827
[STEP] az=34.17 prev_primary=5 action=[4, 6] reward=+1.000
[STEP] az=34.17 prev_primary=4 action=[4, 6] reward=+1.000
[STEP] az=34.17 prev_primary=4 action=[3, 4] reward=-0.404
[STEP] az=336.11 prev_primary=3 action=[5, 1] reward=+0.827
[STEP] az=349.84 prev_primary=5 action=[4, 2] reward=+1.890
[STEP] az=5.55 prev_primary=4 action=[4, 2] reward=+1.887
[STEP] az=5.56 prev_primary=4 action=[6, 3] reward=-1.000
[STEP] az=5.56 prev_primary=6 action=[4, 3] reward=-0.306
[STEP] az=17.87 prev_primary=4 action=[2, 4] reward=-0.499
[STEP] az=5.57 prev_primary=2 action=[1, 6] reward=+0.117
[STEP] az=5.57 prev_primary=1 action=[1, 2] reward=-0.709
[STEP] az=12.62 prev_primary=1 action=[1, 2] reward=+0.245
[STEP] az=11.62 prev_primary=1 action=[3, 2] reward=+0.928
[STEP] az=21.08 prev_primary=3 action=[6, 1] reward=-1.000
[STEP] az=21.08 prev_primary=6 action=[4, 6] reward=+1.000
[STEP] az=21.08 prev_primary=4 action=[3, 2] reward=+0.895
[STEP] az=16.95 prev_primary=3 action=[1, 3] reward=-1.710
[STEP] az=15.33 prev_primary=1 action=[2, 6] reward=+0.542
[STEP] az=15.33 prev_primary=2 action=[6, 2] reward=-1.000
[STEP] az=15.33 prev_primary=6 action=[3, 4] reward=-0.494
[STEP] az=330.32 prev_primary=3 action=[2, 4] reward=-1.006
[STEP] az=356.33 prev_primary=2 action=[1, 5] reward=+0.997
[STEP] az=356.33 prev_primary=1 action=[6, 2] reward=-1.000
[STEP] az=356.33 prev_primary=6 action=[5, 6] reward=+0.827
[STEP] az=356.33 prev_primary=5 action=[1, 6] reward=+0.997
[STEP] az=356.33 prev_primary=1 action=[5, 3] reward=+0.827
[STEP] az=324.55 prev_primary=5 action=[3, 6] reward=+1.000
[STEP] az=324.55 prev_primary=3 action=[6, 5] reward=-1.000
[STEP] az=324.55 prev_primary=6 action=[2, 5] reward=-1.534
[STEP] az=29.61 prev_primary=2 action=[4, 2] reward=+1.890
[STEP] az=5.55 prev_primary=4 action=[4, 6] reward=+0.950
[STEP] az=5.55 prev_primary=4 action=[5, 1] reward=-1.000
[STEP] az=5.55 prev_primary=5 action=[3, 2] reward=+0.921
[STEP] az=20.09 prev_primary=3 action=[5, 4] reward=+0.827
[STEP] az=78.34 prev_primary=5 action=[2, 6] reward=+0.956
[STEP] az=78.34 prev_primary=2 action=[1, 2] reward=-0.343
[STEP] az=13.41 prev_primary=1 action=[5, 4] reward=+0.827
[STEP] az=78.35 prev_primary=5 action=[2, 5] reward=+0.839
[STEP] az=78.35 prev_primary=2 action=[2, 5] reward=+0.630
[STEP] az=78.35 prev_primary=2 action=[5, 2] reward=+0.827
[STEP] az=34.17 prev_primary=5 action=[2, 5] reward=+0.951
[STEP] az=34.17 prev_primary=2 action=[5, 6] reward=+0.827
[STEP] az=34.17 prev_primary=5 action=[6, 2] reward=-1.000
[STEP] az=34.17 prev_primary=6 action=[5, 4] reward=+0.827
[STEP] az=78.35 prev_primary=5 action=[1, 3] reward=-0.928
[STEP] az=14.75 prev_primary=1 action=[3, 2] reward=+0.893
[STEP] az=16.77 prev_primary=3 action=[5, 6] reward=+0.827
[S1] Ep    3/500 | reward= +13.69 | success=25/50
  cases : leaf_fail=17  primary_fail=8  success=25
  avg   : Rprimary=+0.799(all)  Rangle=-0.858  Rbest=-0.132  R_geom=+0.336
  total : Rprimary=+40.0  Rangle=-21.4  Rbest=-3.3  R_geom=+8.4
[STEP] az=345.94 prev_primary=1 action=[3, 2] reward=+0.615
[STEP] az=354.54 prev_primary=3 action=[3, 1] reward=+1.156
[STEP] az=351.98 prev_primary=3 action=[1, 6] reward=+0.998
[STEP] az=351.98 prev_primary=1 action=[4, 3] reward=-0.141
[STEP] az=8.16 prev_primary=4 action=[6, 3] reward=+0.135
[STEP] az=281.28 prev_primary=6 action=[4, 1] reward=+0.971
[STEP] az=308.57 prev_primary=4 action=[1, 3] reward=-0.850
[STEP] az=351.99 prev_primary=1 action=[2, 5] reward=-0.830
[STEP] az=3.18 prev_primary=2 action=[1, 2] reward=+0.546
[STEP] az=348.69 prev_primary=1 action=[2, 1] reward=+0.599
[STEP] az=332.45 prev_primary=2 action=[3, 2] reward=+0.632
[STEP] az=355.62 prev_primary=3 action=[3, 5] reward=-1.000
[STEP] az=322.93 prev_primary=3 action=[3, 1] reward=+1.157
[STEP] az=351.97 prev_primary=3 action=[5, 1] reward=+1.910
[STEP] az=348.07 prev_primary=5 action=[6, 1] reward=+0.135
