============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=0.00 prev_primary=3 action=[1, 5] reward=-0.325
[STEP] az=287.60 prev_primary=1 action=[2, 4] reward=-1.627
[STEP] az=351.79 prev_primary=2 action=[1, 6] reward=-0.665
[STEP] az=59.95 prev_primary=1 action=[4, 6] reward=+0.199
[STEP] az=128.19 prev_primary=4 action=[5, 4] reward=+0.795
[STEP] az=79.16 prev_primary=5 action=[5, 2] reward=+0.795
[STEP] az=79.16 prev_primary=5 action=[4, 3] reward=+1.000
[STEP] az=79.16 prev_primary=4 action=[3, 4] reward=-1.000
[STEP] az=79.16 prev_primary=3 action=[6, 4] reward=+0.989
[STEP] az=39.67 prev_primary=6 action=[5, 2] reward=+0.795
[STEP] az=39.67 prev_primary=5 action=[4, 6] reward=-0.576
[STEP] az=344.69 prev_primary=4 action=[4, 1] reward=+0.285
[STEP] az=43.08 prev_primary=4 action=[6, 2] reward=+0.989
[STEP] az=14.62 prev_primary=6 action=[1, 2] reward=+0.988
[STEP] az=65.61 prev_primary=1 action=[3, 2] reward=-1.000
[STEP] az=65.61 prev_primary=3 action=[3, 1] reward=-1.000
[STEP] az=65.61 prev_primary=3 action=[5, 3] reward=+0.795
[STEP] az=65.61 prev_primary=5 action=[3, 2] reward=-1.000
[STEP] az=65.61 prev_primary=3 action=[5, 3] reward=+0.795
[STEP] az=65.61 prev_primary=5 action=[4, 2] reward=+0.912
[STEP] az=28.79 prev_primary=4 action=[6, 4] reward=+0.989
[STEP] az=39.70 prev_primary=6 action=[3, 1] reward=-1.000
[STEP] az=39.70 prev_primary=3 action=[6, 5] reward=-1.011
[STEP] az=93.24 prev_primary=6 action=[5, 2] reward=+0.795
[STEP] az=32.66 prev_primary=5 action=[4, 2] reward=+1.000
[STEP] az=10.85 prev_primary=4 action=[3, 4] reward=-1.000
[STEP] az=10.85 prev_primary=3 action=[3, 1] reward=-1.000
[STEP] az=10.85 prev_primary=3 action=[5, 4] reward=+0.795
[STEP] az=79.16 prev_primary=5 action=[1, 2] reward=+0.988
[STEP] az=65.63 prev_primary=1 action=[2, 4] reward=-1.120
[STEP] az=27.65 prev_primary=2 action=[1, 3] reward=+0.988
[STEP] az=27.65 prev_primary=1 action=[5, 2] reward=+0.795
[STEP] az=32.68 prev_primary=5 action=[5, 1] reward=+0.795
[STEP] az=347.80 prev_primary=5 action=[4, 6] reward=-0.064
[STEP] az=308.94 prev_primary=4 action=[5, 2] reward=+0.795
[STEP] az=308.94 prev_primary=5 action=[2, 3] reward=+0.322
[STEP] az=308.94 prev_primary=2 action=[2, 1] reward=+0.882
[STEP] az=51.19 prev_primary=2 action=[4, 6] reward=+0.104
[STEP] az=123.50 prev_primary=4 action=[1, 5] reward=-0.364
[STEP] az=52.19 prev_primary=1 action=[1, 3] reward=+0.988
[STEP] az=52.19 prev_primary=1 action=[3, 2] reward=-1.000
[STEP] az=52.19 prev_primary=3 action=[3, 4] reward=-1.000
[STEP] az=52.19 prev_primary=3 action=[4, 2] reward=+0.934
[STEP] az=26.41 prev_primary=4 action=[5, 1] reward=+0.795
[STEP] az=347.89 prev_primary=5 action=[4, 3] reward=+1.000
[STEP] az=347.89 prev_primary=4 action=[2, 5] reward=+0.577
[STEP] az=347.89 prev_primary=2 action=[2, 5] reward=+0.414
[STEP] az=347.89 prev_primary=2 action=[5, 4] reward=+0.795
[STEP] az=79.16 prev_primary=5 action=[2, 3] reward=+0.322
[STEP] az=79.16 prev_primary=2 action=[3, 1] reward=-1.000
[S1] Ep    1/500 | reward=  +8.66 | success=27/50
  cases : leaf_fail=13  primary_fail=10  success=27
  avg   : Rprimary=+0.725(all)  Rangle=-0.912  Rbest=-0.054  R_geom=+0.378
  total : Rprimary=+36.2  Rangle=-24.6  Rbest=-1.5  R_geom=+10.2
[STEP] az=61.88 prev_primary=2 action=[1, 2] reward=+0.629
[STEP] az=28.95 prev_primary=1 action=[3, 6] reward=-0.268
[STEP] az=356.50 prev_primary=3 action=[1, 6] reward=-0.452
[STEP] az=22.66 prev_primary=1 action=[3, 2] reward=+0.996
[STEP] az=39.19 prev_primary=3 action=[1, 6] reward=-0.447
[STEP] az=22.96 prev_primary=1 action=[2, 6] reward=-1.510
[STEP] az=26.19 prev_primary=2 action=[4, 1] reward=+1.219
[STEP] az=10.71 prev_primary=4 action=[3, 1] reward=+0.996
[STEP] az=352.83 prev_primary=3 action=[2, 4] reward=-0.839
[STEP] az=8.14 prev_primary=2 action=[2, 5] reward=+0.290
[STEP] az=8.14 prev_primary=2 action=[6, 5] reward=+0.948
[STEP] az=8.14 prev_primary=6 action=[6, 4] reward=+0.948
[STEP] az=37.29 prev_primary=6 action=[6, 2] reward=+1.950
[STEP] az=12.26 prev_primary=6 action=[2, 5] reward=+0.981
[STEP] az=12.26 prev_primary=2 action=[2, 6] reward=-0.934
[STEP] az=351.77 prev_primary=2 action=[2, 3] reward=-0.908
[STEP] az=15.99 prev_primary=2 action=[6, 4] reward=+0.948
[STEP] az=37.30 prev_primary=6 action=[1, 5] reward=+0.998
[STEP] az=37.30 prev_primary=1 action=[5, 6] reward=-0.442
[STEP] az=24.86 prev_primary=5 action=[1, 6] reward=-0.472
[STEP] az=21.54 prev_primary=1 action=[3, 2] reward=+0.996
[STEP] az=21.54 prev_primary=3 action=[1, 6] reward=-1.331
[STEP] az=16.55 prev_primary=1 action=[5, 2] reward=-1.000
[STEP] az=16.55 prev_primary=5 action=[5, 1] reward=+0.157
[STEP] az=348.26 prev_primary=5 action=[3, 4] reward=+0.023
[STEP] az=1.53 prev_primary=3 action=[5, 4] reward=+0.157
[STEP] az=78.81 prev_primary=5 action=[1, 2] reward=+0.693
[STEP] az=115.10 prev_primary=1 action=[1, 4] reward=-0.423
[STEP] az=16.92 prev_primary=1 action=[1, 4] reward=-0.381
[STEP] az=19.25 prev_primary=1 action=[5, 2] reward=-1.000
[STEP] az=19.25 prev_primary=5 action=[5, 1] reward=-1.000
[STEP] az=19.25 prev_primary=5 action=[2, 6] reward=-1.158
[STEP] az=31.57 prev_primary=2 action=[4, 1] reward=+1.387
[STEP] az=11.63 prev_primary=4 action=[6, 3] reward=+0.218
[STEP] az=355.94 prev_primary=6 action=[6, 3] reward=+0.248
[STEP] az=354.27 prev_primary=6 action=[1, 3] reward=-0.797
[STEP] az=25.79 prev_primary=1 action=[2, 4] reward=-1.793
[STEP] az=8.03 prev_primary=2 action=[3, 4] reward=-0.057
[STEP] az=356.92 prev_primary=3 action=[1, 2] reward=+0.687
[STEP] az=32.23 prev_primary=1 action=[5, 2] reward=+0.157
[STEP] az=32.23 prev_primary=5 action=[2, 5] reward=+0.531
[STEP] az=32.23 prev_primary=2 action=[1, 6] reward=-0.486
[STEP] az=20.69 prev_primary=1 action=[3, 4] reward=+0.021
[STEP] az=1.42 prev_primary=3 action=[2, 5] reward=+0.943
