============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
============================================================
[STEP] az=0.00 prev_primary=2 action=[4, 5] reward=+0.000
[STEP] az=79.16 prev_primary=4 action=[2, 1] reward=-0.107
[STEP] az=82.47 prev_primary=2 action=[2, 4] reward=-0.807
[STEP] az=35.62 prev_primary=2 action=[2, 3] reward=+0.831
[STEP] az=35.62 prev_primary=2 action=[3, 5] reward=-1.000
[STEP] az=35.62 prev_primary=3 action=[4, 3] reward=+0.800
[STEP] az=35.62 prev_primary=4 action=[1, 5] reward=+0.667
[STEP] az=54.16 prev_primary=1 action=[6, 1] reward=+1.569
[STEP] az=13.86 prev_primary=6 action=[5, 2] reward=+0.369
[STEP] az=13.86 prev_primary=5 action=[2, 1] reward=-0.084
[STEP] az=47.05 prev_primary=2 action=[6, 4] reward=+0.859
[STEP] az=39.73 prev_primary=6 action=[1, 6] reward=-0.118
[STEP] az=59.71 prev_primary=1 action=[5, 2] reward=+0.149
[STEP] az=59.71 prev_primary=5 action=[6, 4] reward=+0.697
[STEP] az=39.71 prev_primary=6 action=[1, 6] reward=-0.157
[STEP] az=59.71 prev_primary=1 action=[5, 3] reward=-0.099
[STEP] az=59.71 prev_primary=5 action=[6, 5] reward=-1.751
[STEP] az=75.52 prev_primary=6 action=[3, 5] reward=-1.000
[STEP] az=75.52 prev_primary=3 action=[2, 5] reward=+0.831
[STEP] az=75.52 prev_primary=2 action=[6, 2] reward=+0.633
[STEP] az=14.54 prev_primary=6 action=[3, 1] reward=-1.000
[STEP] az=14.54 prev_primary=3 action=[5, 4] reward=+1.059
[STEP] az=79.15 prev_primary=5 action=[2, 3] reward=+0.831
[STEP] az=79.15 prev_primary=2 action=[2, 3] reward=+0.831
[STEP] az=79.15 prev_primary=2 action=[1, 4] reward=+0.909
[STEP] az=50.31 prev_primary=1 action=[1, 4] reward=+1.187
[STEP] az=48.67 prev_primary=1 action=[4, 3] reward=+0.876
[STEP] az=48.67 prev_primary=4 action=[1, 2] reward=+1.789
[STEP] az=65.49 prev_primary=1 action=[1, 3] reward=+0.076
[STEP] az=65.86 prev_primary=1 action=[2, 5] reward=+0.831
[STEP] az=65.86 prev_primary=2 action=[1, 4] reward=-0.362
[STEP] az=47.94 prev_primary=1 action=[3, 5] reward=-1.000
[STEP] az=47.94 prev_primary=3 action=[2, 6] reward=+0.210
[STEP] az=54.15 prev_primary=2 action=[4, 3] reward=+0.550
[STEP] az=54.15 prev_primary=4 action=[3, 2] reward=-1.000
[STEP] az=54.15 prev_primary=3 action=[2, 1] reward=-0.084
[STEP] az=46.93 prev_primary=2 action=[3, 5] reward=-1.000
[STEP] az=46.93 prev_primary=3 action=[2, 5] reward=+0.831
[STEP] az=46.93 prev_primary=2 action=[4, 6] reward=-0.175
[STEP] az=120.85 prev_primary=4 action=[2, 1] reward=-0.135
[STEP] az=77.81 prev_primary=2 action=[5, 1] reward=+1.795
[STEP] az=347.85 prev_primary=5 action=[5, 6] reward=+1.795
[STEP] az=93.24 prev_primary=5 action=[6, 4] reward=+1.989
[STEP] az=39.66 prev_primary=6 action=[6, 4] reward=+1.989
[STEP] az=39.65 prev_primary=6 action=[6, 5] reward=+0.008
[STEP] az=82.06 prev_primary=6 action=[1, 2] reward=+1.988
[STEP] az=65.55 prev_primary=1 action=[5, 2] reward=+0.629
[STEP] az=65.55 prev_primary=5 action=[1, 4] reward=+1.212
[STEP] az=50.03 prev_primary=1 action=[5, 3] reward=+0.731
[STEP] az=322.12 prev_primary=5 action=[6, 2] reward=+1.989
[S1] Ep    1/500 | reward= +21.63 | success=31/50
  cases : leaf_fail=13  primary_fail=6  success=31
  avg   : Rprimary=+0.802(all)  Rangle=-0.774  Rbest=-0.672  R_geom=+0.171
  total : Rprimary=+40.1  Rangle=-24.0  Rbest=-20.8  R_geom=+5.3
[STEP] az=9.93 prev_primary=2 action=[2, 5] reward=+0.982
[STEP] az=9.93 prev_primary=2 action=[1, 6] reward=+0.528
[STEP] az=21.54 prev_primary=1 action=[1, 3] reward=-0.001
[STEP] az=355.09 prev_primary=1 action=[1, 2] reward=+0.558
[STEP] az=31.63 prev_primary=1 action=[1, 2] reward=+1.258
[STEP] az=32.07 prev_primary=1 action=[1, 4] reward=-0.320
[STEP] az=18.15 prev_primary=1 action=[3, 5] reward=+0.435
[STEP] az=18.15 prev_primary=3 action=[6, 2] reward=+1.947
[STEP] az=12.24 prev_primary=6 action=[3, 2] reward=+0.891
[STEP] az=39.19 prev_primary=3 action=[4, 1] reward=+1.224
[STEP] az=11.32 prev_primary=4 action=[6, 1] reward=+1.218
[STEP] az=326.68 prev_primary=6 action=[1, 4] reward=+0.580
[STEP] az=17.13 prev_primary=1 action=[4, 1] reward=+1.520
[STEP] az=11.03 prev_primary=4 action=[5, 6] reward=+0.558
[STEP] az=24.86 prev_primary=5 action=[6, 2] reward=+1.948
[STEP] az=12.23 prev_primary=6 action=[3, 1] reward=+1.928
[STEP] az=352.84 prev_primary=3 action=[2, 5] reward=+0.558
[STEP] az=352.84 prev_primary=2 action=[6, 5] reward=+0.935
[STEP] az=352.84 prev_primary=6 action=[1, 2] reward=+0.269
[STEP] az=29.15 prev_primary=1 action=[4, 1] reward=+1.047
[STEP] az=10.08 prev_primary=4 action=[3, 5] reward=+0.433
[STEP] az=10.08 prev_primary=3 action=[2, 3] reward=+0.069
[STEP] az=18.52 prev_primary=2 action=[1, 2] reward=+0.978
[STEP] az=28.94 prev_primary=1 action=[6, 1] reward=+0.842
[STEP] az=326.66 prev_primary=6 action=[5, 3] reward=+1.157
[STEP] az=323.13 prev_primary=5 action=[4, 6] reward=+0.155
[STEP] az=5.07 prev_primary=4 action=[3, 5] reward=+0.996
[STEP] az=5.07 prev_primary=3 action=[5, 4] reward=-1.000
[STEP] az=5.07 prev_primary=5 action=[3, 4] reward=+0.956
[STEP] az=357.70 prev_primary=3 action=[1, 6] reward=+0.514
[STEP] az=20.72 prev_primary=1 action=[2, 4] reward=-0.018
[STEP] az=8.08 prev_primary=2 action=[2, 3] reward=+0.068
[STEP] az=18.66 prev_primary=2 action=[1, 6] reward=-1.078
[STEP] az=22.45 prev_primary=1 action=[5, 6] reward=-1.000
[STEP] az=22.45 prev_primary=5 action=[1, 4] reward=-0.951
[STEP] az=18.21 prev_primary=1 action=[5, 2] reward=-0.788
[STEP] az=18.21 prev_primary=5 action=[2, 3] reward=+0.082
[STEP] az=17.04 prev_primary=2 action=[1, 3] reward=-1.902
[STEP] az=352.84 prev_primary=1 action=[5, 1] reward=-0.262
[STEP] az=348.29 prev_primary=5 action=[5, 1] reward=-1.000
[STEP] az=348.29 prev_primary=5 action=[3, 5] reward=+0.488
[STEP] az=348.29 prev_primary=3 action=[1, 4] reward=-0.411
[STEP] az=18.54 prev_primary=1 action=[5, 4] reward=-1.000
[STEP] az=18.54 prev_primary=5 action=[2, 3] reward=-0.489
[STEP] az=18.96 prev_primary=2 action=[5, 4] reward=+0.062
[STEP] az=78.81 prev_primary=5 action=[3, 6] reward=+0.722
[STEP] az=355.86 prev_primary=3 action=[1, 2] reward=+1.688
[STEP] az=32.31 prev_primary=1 action=[3, 2] reward=+1.996
[STEP] az=39.19 prev_primary=3 action=[2, 3] reward=+0.111
[STEP] az=65.32 prev_primary=2 action=[3, 6] reward=+0.996
[S1] Ep    2/500 | reward= +20.48 | success=37/50
  cases : leaf_fail=9  primary_fail=4  success=37
  avg   : Rprimary=+0.826(all)  Rangle=-0.803  Rbest=-0.633  R_geom=+0.098
  total : Rprimary=+41.3  Rangle=-29.7  Rbest=-23.4  R_geom=+3.6
[STEP] az=93.32 prev_primary=2 action=[6, 1] reward=-1.000
[STEP] az=93.32 prev_primary=6 action=[2, 3] reward=+0.394
[STEP] az=91.93 prev_primary=2 action=[3, 6] reward=+1.000
[STEP] az=91.93 prev_primary=3 action=[5, 6] reward=+0.827
[STEP] az=91.93 prev_primary=5 action=[2, 4] reward=-0.013
[STEP] az=5.57 prev_primary=2 action=[4, 2] reward=+2.000
[STEP] az=5.57 prev_primary=4 action=[6, 2] reward=-1.000
[STEP] az=5.57 prev_primary=6 action=[4, 6] reward=+1.000
[STEP] az=5.57 prev_primary=4 action=[6, 4] reward=-1.000
[STEP] az=5.57 prev_primary=6 action=[1, 6] reward=+0.997
[STEP] az=5.57 prev_primary=1 action=[5, 6] reward=+0.827
[STEP] az=5.57 prev_primary=5 action=[3, 5] reward=+0.000
[STEP] az=324.56 prev_primary=3 action=[3, 5] reward=+0.000
[STEP] az=324.58 prev_primary=3 action=[4, 2] reward=+1.780
[STEP] az=5.55 prev_primary=4 action=[1, 5] reward=+0.997
[STEP] az=5.55 prev_primary=1 action=[4, 3] reward=+0.676
[STEP] az=18.98 prev_primary=4 action=[6, 4] reward=-1.000
[STEP] az=18.98 prev_primary=6 action=[2, 5] reward=+0.005
[STEP] az=24.33 prev_primary=2 action=[4, 6] reward=+1.000
[STEP] az=24.33 prev_primary=4 action=[2, 3] reward=+0.380
[STEP] az=353.43 prev_primary=2 action=[4, 6] reward=+1.000
[STEP] az=353.43 prev_primary=4 action=[5, 1] reward=+1.827
[STEP] az=349.87 prev_primary=5 action=[4, 5] reward=+0.310
[STEP] az=19.24 prev_primary=4 action=[5, 6] reward=+0.792
[STEP] az=19.24 prev_primary=5 action=[6, 1] reward=-1.000
[STEP] az=19.24 prev_primary=6 action=[6, 3] reward=-1.000
[STEP] az=19.24 prev_primary=6 action=[2, 4] reward=-0.013
[STEP] az=5.55 prev_primary=2 action=[6, 1] reward=-1.000
[STEP] az=5.55 prev_primary=6 action=[1, 4] reward=+0.320
[STEP] az=1.87 prev_primary=1 action=[6, 2] reward=-1.000
[STEP] az=1.87 prev_primary=6 action=[3, 6] reward=+0.899
[STEP] az=1.87 prev_primary=3 action=[1, 2] reward=-0.688
[STEP] az=13.36 prev_primary=1 action=[2, 3] reward=-0.614
[STEP] az=351.30 prev_primary=2 action=[5, 2] reward=+0.378
[STEP] az=34.17 prev_primary=5 action=[6, 1] reward=-1.000
[STEP] az=34.17 prev_primary=6 action=[4, 5] reward=+0.345
[STEP] az=21.42 prev_primary=4 action=[1, 6] reward=+0.997
[STEP] az=21.42 prev_primary=1 action=[2, 1] reward=+1.098
[STEP] az=354.76 prev_primary=2 action=[4, 1] reward=+1.777
[STEP] az=354.31 prev_primary=4 action=[2, 3] reward=+0.367
[STEP] az=354.29 prev_primary=2 action=[1, 2] reward=+1.246
[STEP] az=11.67 prev_primary=1 action=[3, 2] reward=+1.463
[STEP] az=19.67 prev_primary=3 action=[1, 3] reward=-0.408
[STEP] az=17.91 prev_primary=1 action=[4, 1] reward=+1.312
[STEP] az=350.01 prev_primary=4 action=[3, 2] reward=+1.201
[STEP] az=17.88 prev_primary=3 action=[3, 2] reward=+1.398
[STEP] az=19.10 prev_primary=3 action=[6, 2] reward=-1.000
[STEP] az=19.10 prev_primary=6 action=[3, 4] reward=+0.048
[STEP] az=331.08 prev_primary=3 action=[2, 5] reward=+0.091
[STEP] az=10.08 prev_primary=2 action=[2, 6] reward=+0.987
[S1] Ep    3/500 | reward= +18.00 | success=28/50
  cases : leaf_fail=12  primary_fail=10  success=28
  avg   : Rprimary=+0.780(all)  Rangle=-0.724  Rbest=-0.258  R_geom=-0.098
  total : Rprimary=+39.0  Rangle=-20.3  Rbest=-7.2  R_geom=-2.7
[STEP] az=33.51 prev_primary=5 action=[4, 6] reward=+1.000
[STEP] az=33.51 prev_primary=4 action=[6, 1] reward=+1.135
[STEP] az=326.70 prev_primary=6 action=[4, 1] reward=+1.987
[STEP] az=328.77 prev_primary=4 action=[3, 1] reward=+0.306
[STEP] az=352.00 prev_primary=3 action=[5, 3] reward=+1.208
[STEP] az=322.95 prev_primary=5 action=[3, 1] reward=+0.847
[STEP] az=351.99 prev_primary=3 action=[3, 5] reward=-1.116
[STEP] az=322.89 prev_primary=3 action=[4, 3] reward=-0.222
[STEP] az=7.61 prev_primary=4 action=[3, 4] reward=-0.024
[STEP] az=318.91 prev_primary=3 action=[1, 3] reward=-0.050
[STEP] az=351.99 prev_primary=1 action=[3, 5] reward=+0.505
[STEP] az=40.08 prev_primary=3 action=[3, 5] reward=+0.000
[STEP] az=322.93 prev_primary=3 action=[5, 3] reward=+1.973
[STEP] az=322.93 prev_primary=5 action=[5, 2] reward=+0.973
[STEP] az=322.93 prev_primary=5 action=[2, 4] reward=+0.290
[STEP] az=327.32 prev_primary=2 action=[1, 4] reward=+0.130
[STEP] az=346.29 prev_primary=1 action=[4, 2] reward=+1.999
[STEP] az=5.31 prev_primary=4 action=[4, 5] reward=-0.053
[STEP] az=24.34 prev_primary=4 action=[5, 6] reward=+0.973
[STEP] az=24.34 prev_primary=5 action=[6, 5] reward=+0.879
[STEP] az=309.74 prev_primary=6 action=[4, 5] reward=+0.468
[STEP] az=20.81 prev_primary=4 action=[1, 4] reward=+0.143
[STEP] az=347.52 prev_primary=1 action=[1, 3] reward=+0.038
[STEP] az=338.51 prev_primary=1 action=[2, 3] reward=+0.726
[STEP] az=335.02 prev_primary=2 action=[2, 6] reward=+0.996
[STEP] az=335.02 prev_primary=2 action=[6, 3] reward=+1.135
[STEP] az=281.25 prev_primary=6 action=[3, 1] reward=+2.000
[STEP] az=352.00 prev_primary=3 action=[2, 6] reward=+0.996
[STEP] az=352.00 prev_primary=2 action=[5, 4] reward=+1.973
[STEP] az=78.72 prev_primary=5 action=[6, 4] reward=+1.135
[STEP] az=36.85 prev_primary=6 action=[5, 6] reward=+0.973
[STEP] az=36.85 prev_primary=5 action=[2, 1] reward=+1.589
[STEP] az=333.03 prev_primary=2 action=[2, 6] reward=+0.996
[STEP] az=333.03 prev_primary=2 action=[3, 6] reward=+1.000
[STEP] az=333.03 prev_primary=3 action=[5, 2] reward=+1.973
[STEP] az=33.51 prev_primary=5 action=[4, 5] reward=+0.485
[STEP] az=19.60 prev_primary=4 action=[6, 3] reward=+1.135
[STEP] az=281.27 prev_primary=6 action=[4, 1] reward=+1.986
[STEP] az=312.44 prev_primary=4 action=[3, 5] reward=+0.000
[STEP] az=322.93 prev_primary=3 action=[2, 1] reward=+1.652
[STEP] az=329.55 prev_primary=2 action=[5, 6] reward=+0.973
[STEP] az=329.55 prev_primary=5 action=[6, 1] reward=+1.135
[STEP] az=326.68 prev_primary=6 action=[3, 4] reward=+0.016
[STEP] az=321.13 prev_primary=3 action=[5, 6] reward=+0.917
[STEP] az=321.13 prev_primary=5 action=[4, 3] reward=-0.923
[STEP] az=7.61 prev_primary=4 action=[5, 6] reward=+0.955
[STEP] az=7.61 prev_primary=5 action=[1, 6] reward=+0.998
[STEP] az=7.61 prev_primary=1 action=[6, 1] reward=+0.611
[STEP] az=326.69 prev_primary=6 action=[5, 1] reward=+1.934
[STEP] az=348.07 prev_primary=5 action=[1, 2] reward=+0.652
[S1] Ep    4/500 | reward= +41.41 | success=38/50
  cases : leaf_fail=12  success=38
  avg   : Rprimary=+0.872(all)  Rangle=-0.913  Rbest=-0.690  R_geom=+0.201
  total : Rprimary=+43.6  Rangle=-34.7  Rbest=-26.2  R_geom=+7.6
[STEP] az=322.10 prev_primary=3 action=[2, 3] reward=+1.278
[STEP] az=305.99 prev_primary=2 action=[5, 4] reward=+1.246
[STEP] az=4.46 prev_primary=5 action=[3, 5] reward=+0.408
[STEP] az=14.01 prev_primary=3 action=[2, 1] reward=+1.973
[STEP] az=293.94 prev_primary=2 action=[1, 6] reward=+0.114
[STEP] az=303.03 prev_primary=1 action=[4, 1] reward=+1.592
[STEP] az=321.96 prev_primary=4 action=[4, 1] reward=+1.592
[STEP] az=321.89 prev_primary=4 action=[4, 2] reward=+0.753
[STEP] az=314.47 prev_primary=4 action=[3, 2] reward=-0.521
[STEP] az=325.97 prev_primary=3 action=[5, 4] reward=-0.455
[STEP] az=11.51 prev_primary=5 action=[1, 6] reward=+0.993
[STEP] az=11.51 prev_primary=1 action=[4, 5] reward=+0.209
[STEP] az=321.05 prev_primary=4 action=[1, 6] reward=+0.106
[STEP] az=304.01 prev_primary=1 action=[4, 2] reward=+0.623
[STEP] az=317.25 prev_primary=4 action=[5, 6] reward=-0.162
[STEP] az=322.24 prev_primary=5 action=[3, 6] reward=-0.458
[STEP] az=280.85 prev_primary=3 action=[6, 4] reward=+0.576
[STEP] az=37.94 prev_primary=6 action=[2, 4] reward=+0.428
[STEP] az=54.44 prev_primary=2 action=[1, 5] reward=+0.528
[STEP] az=39.24 prev_primary=1 action=[6, 2] reward=+1.743
[STEP] az=12.31 prev_primary=6 action=[4, 1] reward=+1.592
[STEP] az=321.95 prev_primary=4 action=[4, 1] reward=+1.592
[STEP] az=321.89 prev_primary=4 action=[3, 4] reward=+0.000
[STEP] az=270.00 prev_primary=3 action=[4, 3] reward=+0.932
[STEP] az=200.10 prev_primary=4 action=[2, 4] reward=+0.447
[STEP] az=315.73 prev_primary=2 action=[4, 6] reward=+0.384
[STEP] az=317.36 prev_primary=4 action=[2, 1] reward=+1.939
[STEP] az=305.52 prev_primary=2 action=[6, 4] reward=+1.743
[STEP] az=37.95 prev_primary=6 action=[1, 5] reward=+0.526
[STEP] az=39.11 prev_primary=1 action=[6, 1] reward=+1.743
[STEP] az=327.43 prev_primary=6 action=[1, 6] reward=+0.096
[STEP] az=305.11 prev_primary=1 action=[2, 5] reward=+0.962
[STEP] az=313.96 prev_primary=2 action=[2, 4] reward=+0.524
[STEP] az=310.75 prev_primary=2 action=[6, 2] reward=+1.743
[STEP] az=12.26 prev_primary=6 action=[2, 6] reward=+0.973
[STEP] az=12.26 prev_primary=2 action=[5, 6] reward=+0.255
[STEP] az=320.01 prev_primary=5 action=[2, 3] reward=+1.256
[STEP] az=307.18 prev_primary=2 action=[3, 2] reward=+1.045
[STEP] az=327.25 prev_primary=3 action=[5, 3] reward=+1.822
[STEP] az=320.43 prev_primary=5 action=[6, 5] reward=+1.440
